property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"2 BHK Apartment for Sale in Ratna Shyam Residency, Althan Surat","Super Area","1350 sqft",Resale,"Ready to Move","8 out of 11",Furnished,South-West,NULL,"₹4,593 per sqft ","₹62 Lac ",2301,1,1350.00,6200000,4593
"2 BHK Apartment for Sale in Ravi Darshan Apartment, Citylight Area Surat","Carpet Area","750 sqft",Resale,"Ready to Move","7 out of 10",Unfurnished,East,"wind direction flat view, top location in citilight area,  flat view nice, call for More information that Property,  nr by area all facilities available.Read more","₹3,889 per sqft ","₹35 Lac ",727,1,750.00,3500000,3889
"2 BHK Apartment for Sale in real kedar bhavan Surat","Carpet Area","800 sqft",Resale,"Ready to Move","8 out of 8",Furnished,NULL,NULL,"₹2,719 per sqft ","₹32 Lac ",327,1,800.00,3200000,2719
"2 BHK Apartment for Sale in Royal Nest, Adajan Surat","Carpet Area","55 sqft",Resale,"Ready to Move","3 out of 4",Unfurnished,NULL,NULL,"₹10,101 per sqft ","₹8.9 Lac ",382,1,55.00,890000,10101
"2 BHK Apartment for Sale in Rudra Enclave, Althan Surat","Carpet Area","804 sqft",Resale,"Ready to Move","11 out of 13",Unfurnished,North-East,"Altra Luxurious 2 Bhk Flat For Sell In Vesu","₹4,179 per sqft ","₹56 Lac ",2834,1,804.00,5600000,4179
"2 BHK Apartment for Sale in RUDRAKSHA PALACE Surat","Super Area","1200 sqft",Resale,"Ready to Move","2 out of 4",Semi-Furnished,NULL,NULL,"₹2,492 per sqft ","₹29.9 Lac ",678,1,1200.00,2990000,2492
"2 BHK Apartment for Sale in Rushabh Residency, Vesu Surat","Carpet Area","1331 sqft",Resale,"Ready to Move","1 out of 5",Furnished,North,NULL,NULL,"₹60 Lac ",1603,1,1331.00,6000000,NULL
"2 BHK Apartment for Sale in Rustampura Surat","Carpet Area","945 sqft",Resale,"Ready to Move","4 out of 4",Unfurnished,South,"Reliance mall,Apple hospital,Ashapuri mata temple, BRTS BUS STATION,Udhna darwaja,Textile market ring roadRead more","₹2,787 per sqft ","₹34 Lac ",94,1,945.00,3400000,2787
"2 BHK Apartment for Sale in Sachin GIDC Surat","Carpet Area","975 sqft",Resale,"Ready to Move","3 out of 6",Unfurnished,NULL,NULL,NULL,"Call for Price",981,1,975.00,NULL,NULL
"2 BHK Apartment for Sale in Sagrampura Surat","Super Area","762 sqft",Resale,"Ready to Move","1 out of 9",Unfurnished,NULL,NULL,"₹2,428 per sqft ","₹18.5 Lac ",359,1,762.00,1850000,2428
"2 BHK Apartment for Sale in Sagrampura Surat","Super Area","900 sqft",Resale,"Ready to Move","1 out of 9",Semi-Furnished,NULL,NULL,NULL,"Call for Price",1358,1,900.00,NULL,NULL
"2 BHK Apartment for Sale in Sahjanand heights Surat","Super Area","865 sqft",Resale,"Ready to Move","10 out of 12",Semi-Furnished,NULL,NULL,"₹4,740 per sqft ","₹41 Lac ",342,1,865.00,4100000,4740
"2 BHK Apartment for Sale in Sahyog Apartment Surat","Carpet Area","935 sqft",Resale,"Ready to Move","2 out of 4",Semi-Furnished,NULL,NULL,NULL,"₹28.5 Lac ",421,1,935.00,2850000,NULL
"2 BHK Apartment for Sale in Sai Enclave, Althan Surat","Carpet Area","1173 sqft",Resale,"Ready to Move","1 out of 14",Unfurnished,NULL,"Multistorey apartment is available for sale. It has carpet area 1173 sq-ft, it is 2 BHK apartment. Please contact for more details.Read more",NULL,"₹51 Lac ",1869,1,1173.00,5100000,NULL
"2 BHK Apartment for Sale in Sai Heights Surat","Super Area","1261 sqft",Resale,"Ready to Move","6 out of 10",Furnished,NULL,NULL,"₹4,044 per sqft ","₹51 Lac ",1677,1,1261.00,5100000,4044
"2 BHK Apartment for Sale in Sai Milaap Residency and Shoppers, Palanpur Surat","Carpet Area","950 sqft",Resale,"Ready to Move","9 out of 15",Unfurnished,South-West,"No GST","₹4,157 per sqft ","₹53.2 Lac ",2535,1,950.00,5320000,4157
"2 BHK Apartment for Sale in Sai Parisar, Palanpur Surat","Super Area","1215 sqft","New Property","Poss. by Nov '24","6 out of 14",Unfurnished,East,"This fancy 2 BHK flat sits at the corner of two roads, giving it a special touch. Its made with really nice materials, making it a cozy and fancy place to live in.Read more","₹4,291 per sqft ","₹52.1 Lac ",2756,1,1215.00,5210000,4291
"2 BHK Apartment for Sale in Sai Parisar, Palanpur Surat","Super Area","1269 sqft","New Property","Ready to Move","7 out of 14",Unfurnished,East,"2 And  BHK Luxurious Flat For Sale In Palanpur Area With Attractive Rate And All AminitiesRead more","₹4,291 per sqft ","₹54.5 Lac ",2586,1,1269.00,5450000,4291
"2 BHK Apartment for Sale in Sai Residency, Kamrej Surat","Super Area","1156 sqft",Resale,"Ready to Move","3 out of 6",Unfurnished,NULL,NULL,"₹4,325 per sqft ","₹50 Lac ",713,1,1156.00,5000000,4325
"2 BHK Apartment for Sale in Sai Upavan, Palanpur Gam Surat","Carpet Area","700 sqft",Resale,"Ready to Move","11 out of 14",Semi-Furnished,East,"Semi Furnished Ready to move in Apartment with AC in master bedroom, Gas geyser, RO water purifier, Kitchen trolley, Safety door, Storage cabinets in kitchen, Gas pipeline.Read more","₹4,437 per sqft ","₹56 Lac ",1653,1,700.00,5600000,4437
"2 BHK Apartment for Sale in Sai Upavan, Palanpur Gam Surat","Super Area","1264 sqft",Resale,"Ready to Move","13 out of 14",Unfurnished,East,NULL,"₹4,351 per sqft ","₹55 Lac ",1619,1,1264.00,5500000,4351
"2 BHK Apartment for Sale in sajavat pales Surat","Carpet Area","833 sqft",Resale,"Ready to Move","4 out of 4",Unfurnished,NULL,NULL,"₹2,401 per sqft ","₹20 Lac ",527,1,833.00,2000000,2401
"2 BHK Apartment for Sale in Salabatura Surat","Carpet Area","750 sqft",Resale,"Ready to Move","4 out of 4",Furnished,East,"balcony both room","₹3,182 per sqft ","₹35 Lac ",1039,1,750.00,3500000,3182
"2 BHK Apartment for Sale in Salasar Icon, Dindoli Surat","Carpet Area","1136 sqft",Resale,"Ready to Move","1 out of 1",Unfurnished,NULL,"Elegance meets functionality in this stylish 2 BHK flat for sale at Salasar Icon, Dindoli, Surat. Boasting a generous super area of 1136 sqft, this fully furnished haven is a testament to modern living.Property specificationsThe spacious property boasts a super area of 1136 square feet and is situated on the first floor of a well-maintained building, offering a comfortable and modern living space. The flat is thoughtfully designed with a focus on functionality and aesthetics. The carpet area ensures optimal utilization of space, providing a cozy and inviting atmosphere. The property features 2 well-appointed bedrooms, complemented by 2 bathroomsone attached to the master bedroom, and the other serving as a common facility. The bathroom configuration includes 1 Indian and 1 Western-style bathroom, catering to diverse preferences.Adding to the allure of this residence are the 1 attached balcony, which seamlessly connects to both the hall and kitchen, offering a delightful view of the surroundings. The living and dining areas are distinct, providing a sense of separation and organization within the living space.The kitchen is equipped with modern amenities, featuring a modular design for enhanced efficiency. A piped gas connection and a utility area attached to the kitchen contribute to the convenience of daily chores. The flooring throughout the flat is not only aesthetically pleasing but also vaastu compliant, ensuring positive energy flow. Moreover, the property is east-facing, providing abundant natural light and a pleasant ambiance.FacilitiesCovered parking, round-the-clock water supply from both borewell and corporation sources, and a 100 percent power backup facility ensure uninterrupted comfort. Security is paramount with a dedicated guard and CCTV installations. Plus, there is a lift available for your convenience.LocalityDiscover the perfect blend of convenience and luxury with a strategic location near the Dindoli Flower Garden. Within a 1 km radius, youll find schools, hospitals, malls and supermarkets. Public transport options, such as buses and autos, are readily available, providing residents with convenient and accessible commuting solutions. Additionally, the railway station is conveniently situated within a 2 km radius, adding another layer of accessibility for those who rely on train travel.Read more","₹2,817 per sqft ","₹32 Lac ",282,1,1136.00,3200000,2817
"2 BHK Apartment for Sale in Samarth Enclave, Vesu Surat","Carpet Area","810 sqft",Resale,"Ready to Move","2 out of 10",Unfurnished,North-East,"Luxurious 2 Bhk Flat For Sell In Vesu","₹4,482 per sqft ","₹60.5 Lac ",2896,1,810.00,6050000,4482
"2 BHK Apartment for Sale in Samarth Park, Adajan Surat","Carpet Area","670 sqft",Resale,"Ready to Move","10 out of 10",Unfurnished,East,NULL,"₹3,667 per sqft ","₹33 Lac ",394,1,670.00,3300000,3667
"2 BHK Apartment for Sale in Samarth Srushti, Pal Surat","Carpet Area","720 sqft",Resale,"Ready to Move","3 out of 5",Semi-Furnished,East,"s the name suggests, this is is designed keeping the new trends in mind to cater to home owners having unique requirements.Read more","₹4,310 per sqft ","₹56.5 Lac ",2700,1,720.00,5650000,4310
"2 BHK Apartment for Sale in Samarth Srushti, Pal Surat","Carpet Area","750 sqft","New Property","Poss. by Oct '24","6 out of 14",Unfurnished,East,"The project has 2 bhk multistorey apartments. The project has 3 towers of 14 storeys. All the apartments has east west entry as per vastu compliance. The project is near by schools markets and close to main road. The project has all the amenities with parkingsRead more","₹4,011 per sqft ","₹54.8 Lac ",2854,1,750.00,5480000,4011
"2 BHK Apartment for Sale in Samarth Srushti, Pal Surat","Super Area","1311 sqft","New Property","Ready to Move","4 out of 12",Unfurnished,South-West,"This property has 2 and 3 BHK Apartment.","₹4,158 per sqft ","₹54.5 Lac ",2581,1,1311.00,5450000,4158
